Consumo        CC        CV        Peso        Acel
11        3277        85        862        16
11        3261        90        882        15
13        3261        97        924        16
11        3245        95        944        16
17        7456        225        1028        10
15        4982        150        1144        12
13        5211        150        1145        11
14        4949        140        1149        11
13        5031        130        1168        12
16        6276        170        1187        10
17        5572        160        1203        8
16        5735        165        1231        12
16        6555        150        1253        10
16        6391        190        1283        9
17        7210        215        1437        9
16        7030        198        1447        10
17        7440        220        1451        9
24        5031        200        1458        15
21        5211        210        1460        14
17        7456        225        1475        10
24        5899        215        1538        14
9        1491        70        651        21
10        1999        86        740        14
8        2294        90        754        16
11        2294        72        802        19
12        3802        100        878        13
13        4228        110        987        14
13        4097        88        1046        15
12        4097        100        1094        15
13        3802        100        1096        16
12        4097        88        1100        16
14        4097        100        1109        16
15        3687        105        1146        16
17        5211        150        1365        13
17        5752        153        1384        14
17        5735        165        1403        12
17        6555        175        1488        12
18        6555        170        1582        12
20        6276        180        1651        12
18        6555        175        1713        12
9        1598        80        708        17
8        1606        80        721        15
11        1999        86        742        17
11        1999        86        798        16
12        2294        90        802        20
14        4982        150        1224        12
16        4982        150        1297        13
17        5211        150        1359        14
18        5031        130        1366        14
17        5752        153        1376        13
16        5211        150        1378        14
18        5735        165        1424        12
18        4949        140        1431        16
17        6555        175        1461        12
18        6555        190        1474        13
20        5735        160        1485        14
18        5735        155        1500        14
21        7030        208        1544        11
12        1999        85        770        19
11        2294        72        800        20
11        2540        107        824        14
13        3802        100        929        15
10        3245        95        968        16
13        3802        100        981        16
13        4097        88        1007        17
13        3687        105        1040        17
15        4097        100        1092        18
16        5211        150        1133        11
21        5735        180        1221        11
17        4982        150        1224        12
16        5211        150        1259        13
18        5899        175        1273        11
18        5735        145        1329        13
17        4949        137        1347        15
16        5735        145        1360        13
18        5735        175        1366        13
17        5211        150        1412        15
15        6555        230        1426        10
18        5752        158        1454        13
18        6555        150        1488        12
20        5735        180        1499        13
18        5899        170        1551        13
18        7210        215        1578        11
20        6555        167        1635        13
20        7030        198        1650        12
20        7456        225        1650        11
21        6555        150        1665        14
8        1475        75        708        15
9        1999        80        817        17
9        2294        75        847        17
11        3277        NA        958        17
12        3802        100        967        16
12        3245        95        1034        17
16        4097        100        1112        17
13        3687        105        1204        17
15        4228        110        1210        18
15        4097        100        1260        17
15        4949        140        1380        14
17        4982        150        1419        16
17        5211        150        1485        14
17        4949        140        1546        16
18        5735        150        1566        15
10        2294        78        864        19
10        2294        83        879        17
12        3802        100        971        16
13        2802        97        994        15
11        3785        110        1013        15
16        4097        72        1052        20
18        4949        129        1056        12
12        3802        90        1070        17
12        4293        110        1073        14
12        3687        95        1088        16
16        4097        72        1144        21
13        4097        105        1153        16
16        4228        110        1243        19
13        3687        95        1261        19
15        4097        105        1299        19
14        3785        110        1302        21
